"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","77","skip-to-content link exists on /about","Accessibility","2026-04-24","passed","2026-04-24","","","",""
"","235","can navigate to Contact page via navbar","Navigation","2026-04-24","passed","2026-04-24","","","",""
"","84","page loads successfully","Events Page","2026-04-24","passed","2026-04-24","","","",""
"","314","email field rejects invalid format","Contact Page","2026-04-24","passed","2026-04-24","","","",""
"","76","page has exactly one h1 on /","Accessibility","2026-04-24","passed","2026-04-24","","","",""
"","143","can navigate to About page via navbar","Navigation","2026-04-24","passed","2026-04-24","","","",""
"","167","can navigate to Events page via navbar","Navigation","2026-04-24","passed","2026-04-24","","","",""
"","72","skip-to-content link exists on /events","Accessibility","2026-04-24","passed","2026-04-24","","","",""
"","219","switching to English updates the navbar language button","Language Switcher","2026-04-24","passed","2026-04-24","","","",""
"","76","page has exactly one h1 on /events","Accessibility","2026-04-24","passed","2026-04-24","","","",""
"","217","switching to Deutsch updates the navbar language button","Language Switcher","2026-04-24","passed","2026-04-24","","","",""
"","90","language switcher button is visible in the navbar","Language Switcher","2026-04-24","passed","2026-04-24","","","",""
"","322","404 page is shown for unknown routes","Navigation","2026-04-24","passed","2026-04-24","","","",""
"","72","page has exactly one h1 on /about","Accessibility","2026-04-24","passed","2026-04-24","","","",""
"","80","page has exactly one h1 on /contact","Accessibility","2026-04-24","passed","2026-04-24","","","",""
"","172","submit does nothing when form is empty","Contact Page","2026-04-24","passed","2026-04-24","","","",""
"","563","page loads successfully","About Page","2026-04-24","passed","2026-04-24","","","",""
"","320","submit button becomes enabled when all required fields are filled","Contact Page","2026-04-24","passed","2026-04-24","","","",""
"","76","page loads successfully","Home Page","2026-04-24","passed","2026-04-24","","","",""
"","107","navbar is visible on all pages","Navigation","2026-04-24","passed","2026-04-24","","","",""
"","92","footer is visible on all pages","Navigation","2026-04-24","passed","2026-04-24","","","",""
"","79","main content area is visible","Home Page","2026-04-24","passed","2026-04-24","","","",""
"","69","page has exactly one h1 on /portfolio","Accessibility","2026-04-24","passed","2026-04-24","","","",""
"","381","can navigate to Portfolio page via navbar","Navigation","2026-04-24","passed","2026-04-24","","","",""
"","110","all images have alt text on /portfolio","Accessibility","2026-04-24","passed","2026-04-24","","","",""
"","75","all images have alt text on /about","Accessibility","2026-04-24","passed","2026-04-24","","","",""
"","204","language dropdown offers three language options","Language Switcher","2026-04-24","passed","2026-04-24","","","",""
"","89","page loads successfully","Portfolio Page","2026-04-24","passed","2026-04-24","","","",""
"","81","all images have alt text on /contact","Accessibility","2026-04-24","passed","2026-04-24","","","",""
"","189","all images have alt text on /","Accessibility","2026-04-24","passed","2026-04-24","","","",""
"","92","skip-to-content link exists on /","Accessibility","2026-04-24","passed","2026-04-24","","","",""
"","67","all images have alt text on /events","Accessibility","2026-04-24","passed","2026-04-24","","","",""
"","132","contact form and all fields are visible","Contact Page","2026-04-24","passed","2026-04-24","","","",""
"","135","skip-to-content link exists on /contact","Accessibility","2026-04-24","passed","2026-04-24","","","",""
"","71","skip-to-content link exists on /portfolio","Accessibility","2026-04-24","passed","2026-04-24","","","",""
